Record Length,2500,Points,239.80000615E-3,-512.000024319E-3,,Record Length,2500,Points,239.80000615E-3,-19.9999996E-3,
Sample Interval,19.9999995E-6,s,239.82000351E-3,-504.000008106E-3,,Sample Interval,19.9999995E-6,s,239.82000351E-3,-19.9999996E-3,
Trigger Point,-11.9900012E3,Samples,239.84000087E-3,-504.000008106E-3,,Trigger Point,-11.9900012E3,Samples,239.84000087E-3,0.0,
,,,239.86001313E-3,-512.000024319E-3,,,,,239.86001313E-3,-39.99999911E-3,
,,,239.88001049E-3,-512.000024319E-3,,,,,239.88001049E-3,0.0,
,,,239.90000784E-3,-512.000024319E-3,,,,,239.90000784E-3,-19.9999996E-3,
Source,CH1,,239.92000520E-3,-512.000024319E-3,,Source,CH2,,239.92000520E-3,-19.9999996E-3,
Vertical Units,Volts,,239.94000256E-3,-504.000008106E-3,,Vertical Units,Volts,,239.94000256E-3,-19.9999996E-3,
Vertical Scale,200.00000950E-3,,239.95999992E-3,-512.000024319E-3,,Vertical Scale,499.999988824E-3,,239.95999992E-3,-19.9999996E-3,
Vertical Offset,0,,239.98001218E-3,-512.000024319E-3,,Vertical Offset,0,,239.98001218E-3,-19.9999996E-3,
Horizontal Units,s,,240.00000954E-3,-512.000024319E-3,,Horizontal Units,s,,240.00000954E-3,-19.9999996E-3,
Horizontal Scale,4.99999987E-3,,240.02000690E-3,-504.000008106E-3,,Horizontal Scale,4.99999987E-3,,240.02000690E-3,0.0,
Pt Fmt,Y,,240.04000425E-3,-504.000008106E-3,,Pt Fmt,Y,,240.04000425E-3,-19.9999996E-3,
Yzero,200.00000000E-3,,240.06000161E-3,-512.000024319E-3,,Yzero,-2.1200000,,240.06000161E-3,-19.9999996E-3,
Probe Atten,1.000000,,240.07999897E-3,-504.000008106E-3,,Probe Atten,1.000000,,240.07999897E-3,-19.9999996E-3,
,,,240.10001123E-3,-504.000008106E-3,,,,,240.10001123E-3,-19.9999996E-3,
