Record Length,2500,Points,214.80000019E-3,152.00001001E-3,,Record Length,2500,Points,214.80000019E-3,-299.99998212E-3,
Sample Interval,39.99999899E-6,s,214.83999491E-3,152.00001001E-3,,Sample Interval,39.99999899E-6,s,214.83999491E-3,-280.00000119E-3,
Trigger Point,-5.37000040E3,Samples,214.88000453E-3,144.0000087E-3,,Trigger Point,-5.37000040E3,Samples,214.88000453E-3,-280.00000119E-3,
,,,214.91999924E-3,144.0000087E-3,,,,,214.91999924E-3,-280.00000119E-3,
,,,214.95999396E-3,144.0000087E-3,,,,,214.95999396E-3,-299.99998212E-3,
,,,215.00000358E-3,152.00001001E-3,,,,,215.00000358E-3,-280.00000119E-3,
Source,CH1,,215.03999829E-3,144.0000087E-3,,Source,CH2,,215.03999829E-3,-280.00000119E-3,
Vertical Units,Volts,,215.07999301E-3,144.0000087E-3,,Vertical Units,Volts,,215.07999301E-3,-259.99999046E-3,
Vertical Scale,200.00000950E-3,,215.12000263E-3,152.00001001E-3,,Vertical Scale,499.999988824E-3,,215.12000263E-3,-280.00000119E-3,
Vertical Offset,0,,215.15999734E-3,144.0000087E-3,,Vertical Offset,0,,215.15999734E-3,-280.00000119E-3,
Horizontal Units,s,,215.20000696E-3,144.0000087E-3,,Horizontal Units,s,,215.20000696E-3,-259.99999046E-3,
Horizontal Scale,9.999999747E-3,,215.24000168E-3,144.0000087E-3,,Horizontal Scale,9.999999747E-3,,215.24000168E-3,-280.00000119E-3,
Pt Fmt,Y,,215.27999640E-3,152.00001001E-3,,Pt Fmt,Y,,215.27999640E-3,-280.00000119E-3,
Yzero,-4.24000000,,215.32000601E-3,152.00001001E-3,,Yzero,-2.1200000,,215.32000601E-3,-280.00000119E-3,
Probe Atten,1.000000,,215.36000073E-3,144.0000087E-3,,Probe Atten,1.000000,,215.36000073E-3,-259.99999046E-3,
,,,215.39999545E-3,144.0000087E-3,,,,,215.39999545E-3,-259.99999046E-3,
Note,TDS 1002C-EDU - 14:39:37   11/03/2019,,215.44000506E-3,144.0000087E-3,,Note,TDS 1002C-EDU - 14:39:37   11/03/2019,,215.44000506E-3,-259.99999046E-3,
,,,215.47999978E-3,144.0000087E-3,,,,,215.47999978E-3,-239.99999464E-3,
,,,215.51999450E-3,144.0000087E-3,,,,,215.51999450E-3,-239.99999464E-3,
,,,215.56000412E-3,144.0000087E-3,,,,,215.56000412E-3,-239.99999464E-3,
,,,215.59999883E-3,144.0000087E-3,,,,,215.59999883E-3,-239.99999464E-3,
,,,215.63999355E-3,144.0000087E-3,,,,,215.63999355E-3,-239.99999464E-3,
,,,215.68000317E-3,144.0000087E-3,,,,,215.68000317E-3,-219.99999881E-3,
,,,215.71999788E-3,144.0000087E-3,,,,,215.71999788E-3,-219.99999881E-3,
,,,215.76000750E-3,144.0000087E-3,,,,,215.76000750E-3,-199.99998808E-3,
,,,215.80000222E-3,144.0000087E-3,,,,,215.80000222E-3,-199.99998808E-3,
,,,215.83999693E-3,144.0000087E-3,,,,,215.83999693E-3,-219.99999881E-3,
,,,215.88000655E-3,144.0000087E-3,,,,,215.88000655E-3,-199.99998808E-3,
,,,215.92000127E-3,144.0000087E-3,,,,,215.92000127E-3,-199.99998808E-3,
,,,215.95999599E-3,144.0000087E-3,,,,,215.95999599E-3,-199.99998808E-3,
,,,216.00000560E-3,144.0000087E-3,,,,,216.00000560E-3,-179.99999225E-3,
,,,216.04000032E-3,144.0000087E-3,,,,,216.04000032E-3,-199.99998808E-3,
,,,216.07999504E-3,144.0000087E-3,,,,,216.07999504E-3,-179.99999225E-3,
,,,216.12000465E-3,144.0000087E-3,,,,,216.12000465E-3,-199.99998808E-3,
,,,216.15999937E-3,144.0000087E-3,,,,,216.15999937E-3,-179.99999225E-3,
,,,216.19999409E-3,144.0000087E-3,,,,,216.19999409E-3,-179.99999225E-3,
,,,216.24000371E-3,152.00001001E-3,,,,,216.24000371E-3,-179.99999225E-3,
,,,216.27999842E-3,144.0000087E-3,,,,,216.27999842E-3,-179.99999225E-3,
,,,216.31999314E-3,144.0000087E-3,,,,,216.31999314E-3,-199.99998808E-3,
,,,216.36000276E-3,144.0000087E-3,,,,,216.36000276E-3,-199.99998808E-3,
,,,216.39999747E-3,144.0000087E-3,,,,,216.39999747E-3,-179.99999225E-3,
,,,216.44000709E-3,144.0000087E-3,,,,,216.44000709E-3,-199.99998808E-3,
,,,216.48000181E-3,152.00001001E-3,,,,,216.48000181E-3,-179.99999225E-3,
,,,216.51999652E-3,144.0000087E-3,,,,,216.51999652E-3,-179.99999225E-3,
,,,216.56000614E-3,144.0000087E-3,,,,,216.56000614E-3,-179.99999225E-3,
