Record Length,2500,Points,138.0200088E-3,280.00000119E-3,,Record Length,2500,Points,138.0200088E-3,39.99999911E-3,
Sample Interval,9.999999747E-6,s,138.0300075E-3,280.00000119E-3,,Sample Interval,9.999999747E-6,s,138.0300075E-3,0.0,
Trigger Point,-13.8020019E3,Samples,138.0400062E-3,280.00000119E-3,,Trigger Point,-13.8020019E3,Samples,138.0400062E-3,0.0,
,,,138.0500048E-3,280.00000119E-3,,,,,138.0500048E-3,39.99999911E-3,
,,,138.0600035E-3,280.00000119E-3,,,,,138.0600035E-3,39.99999911E-3,
,,,138.0700022E-3,280.00000119E-3,,,,,138.0700022E-3,0.0,
Source,CH1,,138.0800158E-3,280.00000119E-3,,Source,CH2,,138.0800158E-3,39.99999911E-3,
Vertical Units,Volts,,138.0900145E-3,280.00000119E-3,,Vertical Units,Volts,,138.0900145E-3,39.99999911E-3,
Vertical Scale,499.999988824E-3,,138.1000131E-3,280.00000119E-3,,Vertical Scale,1.000000,,138.1000131E-3,39.99999911E-3,
Vertical Offset,0,,138.1100118E-3,280.00000119E-3,,Vertical Offset,0,,138.1100118E-3,0.0,
Horizontal Units,s,,138.1200105E-3,280.00000119E-3,,Horizontal Units,s,,138.1200105E-3,39.99999911E-3,
Horizontal Scale,2.4999999E-3,,138.1300092E-3,280.00000119E-3,,Horizontal Scale,2.4999999E-3,,138.1300092E-3,0.0,
Pt Fmt,Y,,138.1400079E-3,280.00000119E-3,,Pt Fmt,Y,,138.1400079E-3,39.99999911E-3,
Yzero,-2.0400000,,138.1500065E-3,280.00000119E-3,,Yzero,2.72000000,,138.1500065E-3,0.0,
Probe Atten,1.000000,,138.1600052E-3,280.00000119E-3,,Probe Atten,1.000000,,138.1600052E-3,0.0,
,,,138.1700039E-3,280.00000119E-3,,,,,138.1700039E-3,39.99999911E-3,
Note,TDS 1002C-EDU - 10:41:56   19/03/2019,,138.1800026E-3,280.00000119E-3,,Note,TDS 1002C-EDU - 10:41:56   19/03/2019,,138.1800026E-3,39.99999911E-3,
,,,138.1900162E-3,280.00000119E-3,,,,,138.1900162E-3,0.0,
,,,138.2000148E-3,280.00000119E-3,,,,,138.2000148E-3,39.99999911E-3,
,,,138.2100135E-3,280.00000119E-3,,,,,138.2100135E-3,39.99999911E-3,
,,,138.2200122E-3,280.00000119E-3,,,,,138.2200122E-3,39.99999911E-3,
,,,138.2300109E-3,280.00000119E-3,,,,,138.2300109E-3,0.0,
,,,138.2400095E-3,280.00000119E-3,,,,,138.2400095E-3,39.99999911E-3,
,,,138.2500082E-3,280.00000119E-3,,,,,138.2500082E-3,0.0,
,,,138.2600069E-3,280.00000119E-3,,,,,138.2600069E-3,39.99999911E-3,
,,,138.2700056E-3,280.00000119E-3,,,,,138.2700056E-3,39.99999911E-3,
,,,138.2800043E-3,280.00000119E-3,,,,,138.2800043E-3,0.0,
,,,138.2900029E-3,280.00000119E-3,,,,,138.2900029E-3,39.99999911E-3,
,,,138.3000016E-3,280.00000119E-3,,,,,138.3000016E-3,39.99999911E-3,
,,,138.3100152E-3,280.00000119E-3,,,,,138.3100152E-3,0.0,
,,,138.3200139E-3,280.00000119E-3,,,,,138.3200139E-3,0.0,
,,,138.3300126E-3,280.00000119E-3,,,,,138.3300126E-3,39.99999911E-3,
,,,138.3400112E-3,280.00000119E-3,,,,,138.3400112E-3,39.99999911E-3,
,,,138.3500099E-3,280.00000119E-3,,,,,138.3500099E-3,39.99999911E-3,
,,,138.3600086E-3,280.00000119E-3,,,,,138.3600086E-3,39.99999911E-3,
,,,138.3700073E-3,280.00000119E-3,,,,,138.3700073E-3,39.99999911E-3,
,,,138.3800060E-3,280.00000119E-3,,,,,138.3800060E-3,39.99999911E-3,
,,,138.3900046E-3,280.00000119E-3,,,,,138.3900046E-3,39.99999911E-3,
,,,138.4000033E-3,280.00000119E-3,,,,,138.4000033E-3,39.99999911E-3,
,,,138.4100020E-3,280.00000119E-3,,,,,138.4100020E-3,0.0,
,,,138.4200156E-3,280.00000119E-3,,,,,138.4200156E-3,39.99999911E-3,
,,,138.4300143E-3,280.00000119E-3,,,,,138.4300143E-3,39.99999911E-3,
,,,138.4400129E-3,280.00000119E-3,,,,,138.4400129E-3,39.99999911E-3,
,,,138.4500116E-3,280.00000119E-3,,,,,138.4500116E-3,39.99999911E-3,
,,,138.4600103E-3,280.00000119E-3,,,,,138.4600103E-3,39.99999911E-3,
,,,138.4700090E-3,280.00000119E-3,,,,,138.4700090E-3,39.99999911E-3,
,,,138.4800076E-3,280.00000119E-3,,,,,138.4800076E-3,0.0,
,,,138.4900063E-3,280.00000119E-3,,,,,138.4900063E-3,39.99999911E-3,
,,,138.5000050E-3,280.00000119E-3,,,,,138.5000050E-3,39.99999911E-3,
,,,138.5100037E-3,280.00000119E-3,,,,,138.5100037E-3,39.99999911E-3,
,,,138.5200024E-3,280.00000119E-3,,,,,138.5200024E-3,39.99999911E-3,
,,,138.5300159E-3,280.00000119E-3,,,,,138.5300159E-3,0.0,
,,,138.5400146E-3,280.00000119E-3,,,,,138.5400146E-3,0.0,
,,,138.5500133E-3,280.00000119E-3,,,,,138.5500133E-3,39.99999911E-3,
,,,138.5600120E-3,280.00000119E-3,,,,,138.5600120E-3,0.0,
,,,138.5700107E-3,280.00000119E-3,,,,,138.5700107E-3,0.0,
,,,138.5800093E-3,280.00000119E-3,,,,,138.5800093E-3,0.0,
,,,138.5900080E-3,280.00000119E-3,,,,,138.5900080E-3,0.0,
,,,138.6000067E-3,280.00000119E-3,,,,,138.6000067E-3,0.0,
